timestamp,tx_type,received_amount,received_currency,sent_amount,sent_currency,fee,fee_currency,comment,txid,url,exchange,wallet_address
2022-03-08 10:00:41,TRANSFER,0.001,ALGO,,,,,,K64WPW75GE5VTT6PREM5AZXAOVCL42U6KKTLZR7SIVTG6BGLF26Q,https://algoexplorer.io/tx/K64WPW75GE5VTT6PREM5AZXAOVCL42U6KKTLZR7SIVTG6BGLF26Q,algorand_blockchain,U5QSMO4HC7R2T3D3K4ODH3CHHISYSXRGWXR7EIL5FKLYH2P25SIG2TKT7A
2022-03-08 10:00:41,STAKING,0.04032,ALGO,,,,,Participation Rewards,K64WPW75GE5VTT6PREM5AZXAOVCL42U6KKTLZR7SIVTG6BGLF26Q,https://algoexplorer.io/tx/K64WPW75GE5VTT6PREM5AZXAOVCL42U6KKTLZR7SIVTG6BGLF26Q,algorand_blockchain,U5QSMO4HC7R2T3D3K4ODH3CHHISYSXRGWXR7EIL5FKLYH2P25SIG2TKT7A
2022-02-14 07:14:27,TRADE,0.053947,ALGO,400000.0,Neko,0.004,ALGO,Tinyman,1ljHcb8ZFyTNanfMdqW4IzSX1bt/XEW4Sl+8tAcUj9E=,https://algoexplorer.io/tx/group/1ljHcb8ZFyTNanfMdqW4IzSX1bt/XEW4Sl%2B8tAcUj9E%3D,algorand_blockchain,U5QSMO4HC7R2T3D3K4ODH3CHHISYSXRGWXR7EIL5FKLYH2P25SIG2TKT7A
2022-02-14 07:07:36,STAKING,0.091056,ALGO,,,0.001000,ALGO,Participation Rewards,PC3EMPOM7TQIMEMFS4QTUXYMVQYEJATBM26H6YD6Y2PKWJFH6SMQ,https://algoexplorer.io/tx/PC3EMPOM7TQIMEMFS4QTUXYMVQYEJATBM26H6YD6Y2PKWJFH6SMQ,algorand_blockchain,U5QSMO4HC7R2T3D3K4ODH3CHHISYSXRGWXR7EIL5FKLYH2P25SIG2TKT7A
2022-01-25 06:35:48,TRANSFER,30.0,FISH,,,,,,EWW7K377CBDMFEQ4EI7VIJQTRU6FCWN444RKWQKQVK7BLOYQJ33Q,https://algoexplorer.io/tx/EWW7K377CBDMFEQ4EI7VIJQTRU6FCWN444RKWQKQVK7BLOYQJ33Q,algorand_blockchain,U5QSMO4HC7R2T3D3K4ODH3CHHISYSXRGWXR7EIL5FKLYH2P25SIG2TKT7A
2022-01-23 06:05:43,TRANSFER,30.0,FISH,,,,,,VMNAMHOBIU43WR252OEFVOOI3SQGDZFE3TTZ7XAAID75KZM4GRNA,https://algoexplorer.io/tx/VMNAMHOBIU43WR252OEFVOOI3SQGDZFE3TTZ7XAAID75KZM4GRNA,algorand_blockchain,U5QSMO4HC7R2T3D3K4ODH3CHHISYSXRGWXR7EIL5FKLYH2P25SIG2TKT7A
2022-01-23 06:05:12,STAKING,0.015792,ALGO,,,0.001000,ALGO,Participation Rewards,7P3JBJBV2XQJOPAFVLUT2HFH6R2QS44IIPCDFYHWJ3RZF6BSREPQ,https://algoexplorer.io/tx/7P3JBJBV2XQJOPAFVLUT2HFH6R2QS44IIPCDFYHWJ3RZF6BSREPQ,algorand_blockchain,U5QSMO4HC7R2T3D3K4ODH3CHHISYSXRGWXR7EIL5FKLYH2P25SIG2TKT7A
2022-01-21 15:47:50,TRANSFER,100000.0,Neko,,,,,,BVDBFJMAUQONA2EARUXUCJBMU475YDZO5V4XVSTALOMD5GEZ5ZJQ,https://algoexplorer.io/tx/BVDBFJMAUQONA2EARUXUCJBMU475YDZO5V4XVSTALOMD5GEZ5ZJQ,algorand_blockchain,U5QSMO4HC7R2T3D3K4ODH3CHHISYSXRGWXR7EIL5FKLYH2P25SIG2TKT7A
2022-01-20 15:36:47,TRANSFER,100000.0,Neko,,,,,,FYBRX2ETOMJEZFT4SWO5YEJ2YIBEHL4G5ZPNB5DDTCVDR57FSD6A,https://algoexplorer.io/tx/FYBRX2ETOMJEZFT4SWO5YEJ2YIBEHL4G5ZPNB5DDTCVDR57FSD6A,algorand_blockchain,U5QSMO4HC7R2T3D3K4ODH3CHHISYSXRGWXR7EIL5FKLYH2P25SIG2TKT7A
2022-01-20 11:40:28,TRANSFER,0.1,YLDY,,,,,,QRXYZFJYEOOXXJBLWL56EF2AT7CZLSJUUT5W2GDBQD2NKEHZBJMQ,https://algoexplorer.io/tx/QRXYZFJYEOOXXJBLWL56EF2AT7CZLSJUUT5W2GDBQD2NKEHZBJMQ,algorand_blockchain,U5QSMO4HC7R2T3D3K4ODH3CHHISYSXRGWXR7EIL5FKLYH2P25SIG2TKT7A
2022-01-19 14:31:28,TRANSFER,100000.0,Neko,,,,,,QKEEFPFNPKVIPKHCB3UOM275FLHMH62N5E6BGPVVM3Z5HNMDOB4A,https://algoexplorer.io/tx/QKEEFPFNPKVIPKHCB3UOM275FLHMH62N5E6BGPVVM3Z5HNMDOB4A,algorand_blockchain,U5QSMO4HC7R2T3D3K4ODH3CHHISYSXRGWXR7EIL5FKLYH2P25SIG2TKT7A
2022-01-16 12:35:26,TRANSFER,100000.0,Neko,,,,,,MHL35MYSHLFQIZPKSMFV23SMERGSPR5SXOHL5ZT223GMHBELCKRA,https://algoexplorer.io/tx/MHL35MYSHLFQIZPKSMFV23SMERGSPR5SXOHL5ZT223GMHBELCKRA,algorand_blockchain,U5QSMO4HC7R2T3D3K4ODH3CHHISYSXRGWXR7EIL5FKLYH2P25SIG2TKT7A
